CODIGO,DESCRIPCION,STOCK,PRECIO $,MARCA,MINI CODIGO,DETALLES,PRECIO EN SOLES
ACDTXON256GB, DTXON 256GB USB 3.2 GEN 1 ONYX,20,12.66,KINGSTON,414411,"Memoria Flash USB Kingston DataTraveler Exodia Onyx 256GB, USB 3.2 Gen 1, Color Negro",82.47724
ACKCU2G647GB, USB KT DT EXODIA 64GB 3.2 AZUL,20,3.09,KINGSTON,414834,"Memoria Flash USB Kingston DataTraveler Exodia 64GB, USB 3.2 Gen 1, Color Azul.[@@@]P",34.49326
ACKCU2G647GR, USB KT DT EXODIA 64GB 3.2 ROJO,20,3.09,KINGSTON,414836,"Memoria Flash USB Kingston DataTraveler Exodia 64GB, USB 3.2 Gen 1, Color Rojo.[@@@]P",34.49326
ACKDTSE9G364GB, DTSE9G3 USB 3.2 GEN 1 220MB/S,20,6.19,KINGSTON,435727,"Memoria Flash USB Kingston DataTraveler SE9 G3, 64GB, USB 3.2 Gen 1 (Tipo-A)[@@@]Velo",50.036660000000005
ACKDTXON128GB, DTXON 128GB USB 3.2 GEN 1 ONYX,20,5.32,KINGSTON,414410,"Memoria Flash USB Kingston DataTraveler Exodia Onyx, 128GB USB 3.2 Gen 1, Color Negro",45.67448
ACKTDT70128GB, KING USB DT70/128GB,20,5.32,KINGSTON,363378,"Memoria Flash USB Kingston DataTraveler 70, 128GB, USB-C 3.2 Gen1 presentación en col",45.67448
ACKTDT7064GB, KING USB DT70/64GB,20,3.22,KINGSTON,357672,"Memoria Flash USB Kingston DataTraveler 70, 64GB,USB-C 3.2 Gen1, presentación en colg",35.14508
ACKTDTKN128GB, DTKN USB 3.2 G DTKN/128GB,20,8.92,KINGSTON,388324,"Memoria Flash USB Kingston DataTraveler Kyson 128GB, USB 3.2 Gen 1, Color Plata.[@@@]",63.72488
ACKTDTKN256GB, USB KT DTKN 256GB 3.2 GEN1,20,16.6,KINGSTON,480957,,102.23240000000001
ACKTDTKN512GB, USB KT DTKN 512GB 3.2 GEN1, 1,29.6,KINGSTON,480959,,167.4144
ACKTDTKN64GB, DTKN USB 3.2 G DTKN/64GB,20,4.42,KINGSTON,388323,"Memoria Flash USB Kingston DataTraveler Kyson, 64GB, USB 3.2 Gen 1, Plata[@@@]Present",41.16188
ACKTDTX128GB, KING USB DTX/128GB,20,5.32,KINGSTON,363379,"Memoria Flash USB Kingston DataTraveler Exodia 128GB, USB 3.2 Gen 1, Color Amarillo.[",45.67448
ACKTDTX256GB, KING USB DTX/256GB,20,12.82,KINGSTON,370095,"Memoria Flash USB Kingston DataTraveler Exodia 256GB, USB 3.2 Gen 1, Color Rojo.[@@@]",83.27948
ACKTDTX64GB, KING USB DTX/64GB,20,3.17,KINGSTON,361634,"Memoria Flash USB Kingston DataTraveler Exodia 64GB, USB 3.2 Gen 1[@@@]Presentación e",34.89438
ACKTDTXM128GB, KING USB DTXM/128GB,20,5.32,KINGSTON,393598,"Memoria Flash USB Kingston DataTraveler Exodia M,128GB, USB 3.2 Gen 1, Rojo[@@@]Prese",45.67448
ACKTDTXM256GB, KING USB DTXM/256GB,20,12.68,KINGSTON,397634,"Memoria Flash USB Kingston DataTraveler Exodia M,256GB, USB 3.2 Gen 1, Azul[@@@]Prese",82.57751999999999
ACKTDTXM64GB, KING USB DTXM/64GB,20,3.17,KINGSTON,393597,"Memoria Flash USB Kingston DataTraveler Exodia M,64GB, USB 3.2 Gen 1, Azul[@@@]Presen",34.89438
ACKTDTXS128GBT, USB KT DT EXODIA S 128GB 3.2,20,5.35,KINGSTON,479907,"Memoria Flash USB Kingston DataTraveler Exodia S,128GB, interfaz: USB 3.2 Gen 1, Verd",45.8249
ACKTDTXS256GBO, USB KT DT EXODIA S 256GB 3.2,20,12.9,KINGSTON,479908,"Memoria Flash USB Kingston DataTraveler Exodia S,256GB, interfaz: USB 3.2 Gen 1, Nara",83.6806
ACKTDTXS512GBY, USB KT DT EXODIA S 512GB 3.2,20,28.65,KINGSTON,479910,"Memoria Flash USB Kingston DataTraveler Exodia S,512GB, interfaz: USB 3.2 Gen 1, Amar",162.6511
ACKTDTXS64GBB, USB KT DT EXODIA S 64GB 3.2,20,3.22,KINGSTON,479889,"Memoria Flash USB Kingston DataTraveler Exodia S,64GB, interfaz: USB 3.2 Gen 1, Negro",35.14508
ACSDCZ73016GG46, USB SAND ULTRA FLAIR 16GB 3.0, 8,4.62,SANDISK,416153,Memoria Flash SanDisk 16GB Ultra Flair USB 3.0.[@@@],42.164680000000004
ACSDCZ73064GGG4, USB SANDI ULTRA FLAIR 64GB 3.0, 4,8.64,SANDISK,416155,Memoria Flash SanDisk 64GB Ultra Flair USB 3.0.[@@@],62.32096000000001
ACSDCZ73128GG46, USB SAND ULTRA FLAIR 128GB 3.0, 14,14.49,SANDISK,416156,Memoria Flash SanDisk 128GB Ultra Flair USB 3.0.[@@@],91.65286
ACUP200BL8GB, USB UP200 BLACK 8GB,20,2.23,ACER,470077,"Memoria Flash USB ACER UP200 8GB, Interfaz USB 2.0[@@@]Velocidad máxima de lectura: 3",30.18122
ME4GKVR16LS114W, MEM RAM 4G KING SODIMM 1.60GHZ, 10,13.46,KINGSTON,369503,"Memoria Kingston KVR16LS11/4WP, 4GB DDR3L SODIMM 1600 MHz CL-11, 1.35V[@@@]",86.48844000000001
ME8GKVR16LS118W, MEM RAM 8G KING SODIMM 1.60GHZ,20,25,KINGSTON,369502,"Memoria Kingston KVR16LS11/8WP, 8GB, DDR3L SODIMM, 1600 MHz CL-11, 1.35V[@@@]",144.35000000000002
ME16GTG2666C19S, MEM RAM 16G TG SODIMM 2.66GHZ,20,27.3,TEAMGROUP,400480,"Memoria TeamGroup Elite, 16GB, DDR4, SO-DIMM, 2666 MHz, 1.2V, CL 19-19-19-43[@@@]",155.8822
ME16GKF432S2IB2, MEM RAM 16G KF IMPACT SOD 3.2G,20,53.35,KINGSTON,388193,"Memoria SODIMM Kingston Hyper Impact, 16GB, DDR4 3200 MHz, PC4-25600, CL20, 1.2V.[@@@",286.49690000000004
ME16GKVR32S22S8, MEM RAM 16G KING SODIMM 3.20GH,20,34.4,KINGSTON,393996,"Memoria SODIMM Kingston KVR32S22S8/16, 16GB, DDR4-3200MHz, CL22, 1.2V, 260-pin, Non-E",191.48160000000001
ME16GTG3200C22S, MEM RAM TG 16G SODIMM 3.20GHZ,20,27.8,TEAMGROUP,387130,"Memoria SO-DIMM TeamGroup Elite, 16GB DDR4-3200MHz (PC4-25600) 1.2V, CL22[@@@]",158.38920000000002
ME16KCP432SS816, MEM RAM 16G KING KCP SOD 3.20G,20,33.9,KINGSTON,394579,"Memoria SODIMM Kingston KCP432SS8/16, 16GB, DDR4-3200MHz, CL22, 1.2V, 260-pin, Non-EC",188.9746
ME32GKCP432SD8, MEM RAM 32G KCP 3.20GH SOD DR4,20,89,KINGSTON,408840,"Memoria SODIMM Kingston, 32GB DDR4-3200MHz PC4-25600, CL22, 1.2V, 260-Pin, Non-ECC[@@",465.24600000000004
ME8GCOA3200C2S, MEM RAM 8G COR VENG SOD 3.20G,20,16.55,CORSAIR,387164,"Memoria SODIMM Corsair Vengeance Series 8GB (1 x 8GB), DDR4, 3200MHz, CL22, 1.2V.[@@@",101.9817
ME8GKCP432SS8, MEM RAM 8G KCP 3.20G SOD DDR4,20,19.9,KINGSTON,483697,,118.7786
ME8GKCP432SS88, MEM RAM 8G KING 3.20G SOD DDR4,20,19.9,KINGSTON,383321,,118.7786
ME8GKF432S20IB, MEM RAM 8G FURY SODIMM 3.20GHZ,20,18.2,KINGSTON,376512,"Memoria SODIMM Kingston Fury Impact, 8GB, DDR4, 3200 MHz, PC4-25600, CL20, 1.2V.[@@@]",110.2548
ME8GKVR32S22S68, MEM RAM 8G KING SODIMM 3.20GHZ,20,17.55,KINGSTON,365088,"Memoria SODIMM Kingston KVR32S22S6/8, 8GB, DDR4-3200MHz, CL22, 1.2V, 260-pin, Non-ECC",106.99570000000001
ME8GKVR32S22S88, MEM RAM 8G KING SODIMM 3.20GHZ,20,17.55,KINGSTON,383323,,106.99570000000001
ME8GTG3200C22S1, MEM RAM TG 8G SODIMM 3.20GHZ,20,14.5,TEAMGROUP,387129,"Memoria SO-DIMM TeamGroup Elite, 8GB DDR4-3200MHz(PC4-25600) 1.2V, CL22[@@@]",91.703
ME16GKF548S38IB, MEM RAM 16G KF IMP 4.8G SOD D5,20,43.5,KINGSTON,431029,"Memoria SO-DIMM Kingston Fury Impact 16GB DDR5-4800MHz, PC5-38400, CL38, 1.1V, 262-pi",237.109
ME32GTGSD4801D5, MEM RAM 32G TG 4.80GHZ SOD DR5,20,77.65,TEAMGROUP,435594,"Memoria TEAMGROUP SO-DIMM ELITE DDR5, 32GB DDR5-4800MHz, CL40, 1.1V, 262-Pin, Non-ECC",408.3371
ME8GTGD58G4800S, MEM RAM 8GB SODIMM DDR5-4800,20,30.1,TEAMGROUP,468605,"Memoria TEAMGROUP SO-DIMM ELITE DDR5, 8GB DDR5-4800MHz, CL40, 1.1V[@@@]",169.9214
ME16GBW5600SOD, MEM RAM 16G BIWIN SOD 5.60G D5, 18,41.1,BIWIN,468023,"Memoria Biwin SODIMM, 16GB DDR5-5600, 1R*8, CL46,1.10 V, 262 Pin[@@@]Optimiza el rend",225.07540000000003
ME16GKF556S40IB, MEM RAM 16G KF IMP 5.6G SOD D5,20,43.25,KINGSTON,431030,"Memoria SO-DIMM Kingston Fury Impact 16GB DDR5-5600MHz, PC5-44800, CL40, 1.1V, 262-pi",235.8555
ME16GTC5600HC46, MEM RAM 16G TC 5.60G SOD DDR5,20,43.5,TEAMGROUP,430751,Memoria SO-DIMM TEAMGROUP T-CREATE Classic 16GB (1x16GB) DDR5-5600MHz PC5-44800 CL46,237.109
ME16KCP556SS85, MEM RAM 16G KCP 5.60G SOD DDR5,20,45,KINGSTON,430019,"Memoria SO-DIMM Kingston 16GB DDR5-5600MHz, PC5-44800, CL46, 1.1V, 262-pin, Non-ECC[@",244.63000000000002
ME16KVR56S46BS8, MEM RAM 16G KVR SOD 5.60G DDR5,20,42.5,KINGSTON,464448,"Memoria SODIMM Kingston 16GB DDR5-5600MHz, PC5-44800, CL46, 1.1V, 262-pin, 1Rx8, Non-",232.095
ME16TGD516G560S, MEM RAM 16G TG 5.60GH SOD DDR5, 20,42.5,TEAMGROUP,468608,"Memoria TEAMGROUP SO-DIMM ELITE DDR5, 16GB DDR5-5600MHz, CL46, 1.1V[@@@]",232.095
ME32KCP556SD8, MEM RAM 32G KCP 5.60G SOD DDR5, 5,82,KINGSTON,443814,"Memoria SO-DIMM Kingston 32GB DDR5-5600MHz, PC5-44800, CL46, 1.1V, 262-pin, Non-ECC[@",430.148
ME32KVR56S46BD8, MEM RAM 32G KVR SODIMM 5.60GHZ,20,79.3,KINGSTON,437496,"Memoria SO-DIMM Kingston 32GB DDR5-5600MHz, PC5-44800, CL46, 1.1V, 262-pin, Non-ECC[@",416.6102
ME8GKCP556SS6, MEM RAM 8G KCP SODIMM 5.6G DR5,20,25.7,KINGSTON,463001,"Memoria SODIMM Kingston 8GB DDR5-5600MHz, PC5-44800, CL46, 1.1V, 262-pin, 1Rx16, Non-",147.8598
ME8GKVR56S46BS6, MEM RAM 8G KVR 5.60G SODIM DR5,20,23.7,KINGSTON,468003,"Memoria SODIMM Kingston 8GB DDR5-5600MHz, PC5-44800, CL46, 1.1V, 1Rx16, 262-pin[@@@]",137.8318
ME8GTGD58G5600S, MEM RAM 8G TG 5.60GHZ SOD DDR5,20,30.4,TEAMGROUP,468606,"Memoria TEAMGROUP SO-DIMM ELITE DDR5, 8GB DDR5-5600MHz, CL46, 1.1V[@@@]",171.4256
ACBAGEPS2GD, BOLSA 2 EPSON GD 40X60CM, 0,50,DELTRON,475564,,269.70000000000005
ACBAGEPSGD, BOLSA EPSON GD 40X60CM, 0,50,DELTRON,475563,,269.70000000000005
ACBAGGDLNV, BOLSA LENOVO GD 40X60CM,20,50,DELTRON,475566,,269.70000000000005
ACBAGGDLNVLOQ, BOLSA LENOVO GD LOQ 40X60CM,20,50,DELTRON,475565,,269.70000000000005
ACBAGTOURSGD, BOLSA TOURS GD,20,99,ZZ OTRAS MARCAS,474471,,515.386
ACBLOCKGDTOUR, BLOCK TOURS GD,20,99,DELTRON,475310,,515.386
ACCAMPLIFTVCEL, TV AMPLIFICAR 3D PARA CELULAR,20,15,DELTRON,432662,,94.21000000000001
ACCBOT600ML, BOTELLA 600ML DELTRON BLUE,20,6,DELTRON,431854,,49.084
ACCBOT600MLR, BOTELLA 600ML DELTRON RED,20,6,DELTRON,446227,,49.084
ACCBOT600MLW, BOTELLA 600ML DELTRON BLANCO,20,6,DELTRON,446228,,49.084
ACCGDBALATRAVEL, GD BALANZA DE VIAJERA, 0,10,DELTRON,480257,,69.14
ACCHALFBIKEN, BICICLETA DE PIE NEGRO, 9,200,DELTRON,434855,,1021.8000000000001
ACCHALFBIKER, BICICLETA DE PIE ROJO, 13,200,DELTRON,434856,,1021.8000000000001
ACCKITTOOL, KIT DE HERRAMIENTAS,20,200,DELTRON,476141,,1021.8000000000001
ACCLANYARGDTOUR, LANYAR TOURS GD MARRON,20,69,DELTRON,476599,,364.966
ACCLAPICERO, LAPICEROS TEROS,20,1,TEROS,401603,,24.014
ACCLAPICEROADV, LAPICERO ADVANCE,20,20,ADVANCE COMPUTER CORP,446926,,119.28
ACCMINVENTDEL, VENTILADOR PORTATIL DELTRON,20,6,DELTRON,432661,,49.084
ACCNECKFANBL, VENTILADOR DE CUELLO AZUL,20,5,DELTRON,443564,,44.07
ACCPENDELTRON, LAPICERO DELTRON,20,5,DELTRON,434857,,44.07
ACCWTABLCD12, TABLET DE ESCRITURA,20,20,DELTRON,430604,,119.28
ACDELTRONBAGECO, BOLSA ECO DELTRON 50X40X15, 10,8,DELTRON,448543,,59.112
ACGDTOURPOLMLHL, POLO C MANGA L GD TOURS H L, 0,99,DELTRON,478395,,515.386
ACGDTOURPOLMLHM, POLO C MANGA L GD TOURS H L, 0,99,DELTRON,478394,,515.386
ACGDTOURPOLOMLL, POLO C MANGA L GD TOURS L, 0,99,DELTRON,478393,,515.386
ACGDTOURPOLOMLM, POLO C MANGA L GD TOURS, 0,20,DELTRON,478392,,119.28
ACHICONHZB16G, MAQUINA DE HIELO HICON HZB16G, 1,100,ZZ OTRAS MARCAS,455231,,520.4000000000001
ACLENOVOBOLSAG, BOLSA LENOVO 50 X 40 CM GREEN,20,666,DELTRON,443429,,3358.324
ACLENOVOBOLSAR, BOLSA LENOVO 50 X 40 CM RED,20,666,DELTRON,443428,,3358.324
ACPINDELTRONCIT, PIN DELTRONCITO,20,999,DELTRON,455325,,5027.986
ACPINEPSON, PIN LOGO EPSON,20,9,DELTRON,460057,,64.126
ACPOLOADVCUELLO, POLO ADVANCE CON CUELLO AZUL,20,20,DELTRON,460054,,119.28
ACPOLOGDRUTAL, POLO RUTA DELTRON L,20,666,DELTRON,474619,,3358.324
ACPOLOGDRUTAXL, POLO RUTA DELTRON XL,20,666,DELTRON,474618,,3358.324
ACPOLOGDTOURL, POLO TOURS DELTRON L, 0,99,DELTRON,474470,,515.386
ACPOLOGDTOURXL, POLO TOURS DELTRON XL, 0,99,DELTRON,474469,,515.386
ACPOLOLENCUELLO, POLO LENOVO CON CUELLO AZUL,20,20,DELTRON,460056,,119.28
ACPOLOTECUELLO, POLO TEROS CON CUELLO ROJO,20,20,DELTRON,459907,,119.28
ACTEPOLMLHL, POLO C MANGA L TEROS L,20,99,DELTRON,478396,,515.386
ACTEPOLMLHM, POLO C MANGA L TEROS H M,20,99,DELTRON,478397,,515.386
ACTEPOLMLL, POLO C MANGA L TEROS L,20,10,DELTRON,478398,,69.14
ACTEPOLMLM, POLO C MANGA L TEROS M,20,20,DELTRON,478399,,119.28
ACTEROSECO15PEN, BOLSA ECOLOGICA TEROS PERU N,20,50,TEROS,458782,,269.70000000000005
ACTEROSECO15PER, BOLSA ECOLOGICA TEROS PERU R,20,50,TEROS,458786,,269.70000000000005
ZZBOLSABD, BOLSA GD,20,0.06,ZZ OTRAS MARCAS,315466,,19.30084
ZZCANASTATECN04, KIT TEROS TECNOLOGICO (LENOVO), 1,70,LENOVO,430650,,369.98
ZZCHALECOEPSON, CHALECO EPSON, 10,300,EPSON,134609,,1523.2
ZZCHALECOTOSHIB, CHALECO NEGRO TOSHIBA, 1,999,TOSHIBA,476846,,5027.986
ZZFUNDASIMP, FUNDAS PROMO QUANTA,20,2,EPSON,292141,,29.028
ZZHPBOT600ML, BOTELLA HP DE 600ML BLUE,20,666,HP CONSUMO,470160,,3358.324
ZZHPBOTELLA600M, BOTELLA HP DE 600ML WHT,20,666,HP CONSUMO,470159,,3358.324
ZZHPMINVENT, VENTILADOR HP PORTATIL DELTRON,20,666,HP CONSUMO,470156,,3358.324
ZZHPNCKBLUE, VENTILADOR HP PORTATIL DELTRON,20,666,HP CONSUMO,470157,,3358.324
ZZHPNECKFANW, VENTILADOR DE CUELLO HP WHITE,20,666,HP CONSUMO,470158,,3358.324
ZZLAPICERODELGA, LAPICERO DELGADO MICROSOFT,20,0.3,MICROSOFT OEM,446893,,20.5042
ZZLAPICEROMICRO, LAPICERO MICROSOFT,20,9999,ZZ OTRAS MARCAS,307775,,50153.986000000004
ZZLIBRETAHPCOME, LIBRETA HP COMERCIAL TD, 0,999,HP COMERCIAL,479835,,5027.986
ZZMALETADELTRON, MALETAS DELTRON, 7,999,MICROSOFT OEM,434548,,5027.986
ZZMOCHILAEPSON, PROMO MOCHILA EPSON, 2,666,EPSON,134606,,3358.324
ZZNBACTE9026BG, ZZ BACKPACK TEROS CITY II BEIG,20,50,TEROS,481162,,269.70000000000005
ZZNBACTE9027BL, ZZ BACKPACK TEROS CITY II BLUE,20,50,TEROS,481160,,269.70000000000005
ZZNBACTE9029MM, ZZ BACKPACK TEROS CITY II MOCH,20,50,TEROS,481164,,269.70000000000005
ZZPOLOBLANCOEPS, POLO BLANCO EPSON INDUSTRIAL, 5,50,EPSON,455842,,269.70000000000005
ZZPOLOBTSEPSON, POLOS EPSON BACK TO SCHOOL,20,666,EPSON,469072,,3358.324
ZZPOLOCAMISEROH, POLOS CAMISEROS HP SML, 8,9999999.99,HP CONSUMO,477067,,50140018.94986001
ZZPOLOCAMISEROS, POLOS CAMISEROS SAMSUNG NEGRO,20,777,SAMSUNG,455839,,3914.878
ZZPOLOCELESTEMI, POLO CELESTE MICROSOFT,20,999,ZZ OTRAS MARCAS,480176,,5027.986
ZZPOLONARANJAMI, POLO NARANJA MICROSOFT,20,999,ZZ OTRAS MARCAS,480177,,5027.986
ZZPORTACELULARH, PORTA CELULAR HP, 0,999,HP COMERCIAL,479834,,5027.986
ZZTARJETA220HPC, TARJETA 220 HP COMERCIAL, 0,9999999.99,HP COMERCIAL,478587,,50140018.94986001
ZZTARJETA30HPCO, TARJETA 30 HP COMERCIAL, 0,9999999.99,HP COMERCIAL,478584,,50140018.94986001
ZZTARJETAADVANC, TARJETA TOTTUS ADVANCE,20,666,ADVANCE COMPUTER CORP,456071,,3358.324
ZZTASASLOGIT, TASA LOGITECH, 1,100,LOGITECH,268233,,520.4000000000001
ZZTGPEN02, TEAMGROUP LAPICERO 01,20,999,TEAMGROUP,487632,,5027.986
ZZTOMATODOHPCOM, TOMATODO HP COMERCIAL TD, 0,999,HP COMERCIAL,479837,,5027.986
ZZXLPOLOCAMISER, POLOS CAMISEROS HP XL - XXL, 4,9999999.99,HP CONSUMO,477069,,50140018.94986001
ZZZBOTSPKBL19, BOTTLE W/SPEAKER 530ML DELTRON, 20,12,DELTRON,310949,,79.168
ZZZDEKEYCHAIN19, 3 IN 1 KEYCHAIN CABLE DELTRON,20,2,DELTRON,310104,,29.028
ZZZDELLANYARD19, 3 IN 1 NYLON LANYARD CABLE ADV,20,2,DELTRON,310106,,29.028
ZZZPOLOPURPWD, MERCH POLO PURPLE (WD),20,999,WESTERN DIGITAL,471042,,5027.986
ZZZTEROSLBRTA, LIBRETA ECOLOGICA MOD. CH-BF55, 1,0.45,ADVANCE COMPUTER CORP,418668,,21.2563
ZZZYELDUCK19, PROTECTOR LITTLE YELLOW DUCK, 1,100,DELTRON,310119,,520.4000000000001
ZZZZADVLBRTA, LIBRETA ECOLOGICA MOD. CH-BF55, 1,0.45,ADVANCE COMPUTER CORP,359965,,21.2563
MON236CADV2452S, MON ADV 24\'\' FHD 100HZ 1MS C,20,78.5,ADVANCE COMPUTER CORP,452660,"Monitor curvo Advance ADV-2452S, 23.6"" VA FHD CURVO, HDMI, DP[@@@]Descubre el monitor",412.59900000000005
MON238CTE2402S, MON TE 24'' FHD 100HZ 1MS CVO, 3,78.5,TEROS,442428,"Monitor curvo TEROS TE-2402S, 23.8"" FHD VA, HDMI,VGA[@@@]El monitor curvo TEROS TE-24",412.59900000000005
MON24LG24U421A," MONITOR LED 23.5"" CURVO VA", 18,89.9,LG ELECTRONICS,477514,"Monitor LG 24U421A-B Curvo (1500R) 23.8"", FHD VA,HDMI / USB-C (15W) / Audio-Out[@@@]E",469.75860000000006
MONSMLS24D360GA, MON SAM 24''CURVO ESSENTIAL S3,20,98.6,SAMSUNG,476855,"Monitor Samsung LS24D360GALXPE 24"" FHD (1920x1080) VA Curvo, HDMI x1/VGA x1/Auricular",513.3804
MON27CADV2751S, MON ADV 27' FHD 100HZ 1MS CVO, 15,97,ADVANCE COMPUTER CORP,452735,"Monitor curvo Advance ADV-2751S, 27"" VA FHD CURVO, HDMI, DP[@@@]Mejora tu experiencia",505.358
MON27CTE2732S, MON TE 27 FHD 100HZ CURVO,20,97,TEROS,442418,"Monitor Teros TE-2732S, 27"" VA, 100Hz, 1920x1080,Full HD, HDMI, DP, VESA, FREESYNC[@@",505.358
MON27LG27U421A," MONITOR LED 27"", CURVO VA",20,117.5,LG ELECTRONICS,477515,"Monitor LG 27U421A-B Curvo (1500R) 27”, FHD VA / HDMI / USB-C (15W) / Audio-Out[@@@]E",608.145
MON315CTE3253S," MON TE 32"" FHD 75HZ 1MS CV",20,169,TEROS,475903,"Monitor curvo TEROS TE-3253S, 31.5"" QHD VA, 75Hz,2560x1440, HDMI, DP, Audio, FreeSync",866.366
MONSMLS34C650UA, MONITOR SAMSUNG LS34C650UALXPE, 9,399.5,SAMSUNG,480792,"Monitor Curvo Samsung Viewfinity S6 S65uc, 34” FHD ULTRA-WQHD, DP, HDMI, HDR10, USB,",2022.093
MOVLG34WQ75C-B, MON LG LED 34'' IPS W-QHD CURV,20,400,LG ELECTRONICS,428873,"Monitor LG UltraWide (34WQ75C-B) 34"" Curvo/QHD/IPS (3440x1440) HDMI(2)/DP/LAN/USB-C/U",2024.6000000000001
MO24MSG2422C, MON 24 MS G2422C FHD 1MS 180HZ,20,107,MSI,439457,"Monitor curvo gaming MSI G2422C 24""/FHD/VA/1500R/180Hz/HDMI x2/DP x1/Earphone-Out x1[",555.498
MON238CTE2471G, MON TE 24'' FHD 165HZ 2MS CURV, 0,87,TEROS,423874,"Monitor curvo gaming TEROS TE- 2471G, 23.8"" FHD VA, 165 Hz, 2 ms, HDMI, DP[@@@]El mon",455.218
MON238CTE2473G," MON TE 24"" FHD 180HZ 1MS CV",20,95,TEROS,442423,"Monitor curvo TEROS TE-2473G, 23.8"" FHD VA, HDMI,DP[@@@]El monitor curvo de 23.8"" con",495.33000000000004
MO24MSMAG242C, MON 24 MS MAG 242C FHD 180H 1M,20,96,MSI,477569,"Monitor MSI MAG 242C Curvo (1500R) 23.6”, FHD VA,HDMI / DP / Headphone-Out[@@@]El mon",500.34400000000005
MO27ASXG27WCS, MON 27 AS XG27WCS 2K 180HZ 1MS,20,215,ASUS,443741,"Monitor Gaming ASUS ROG Strix XG27WCS, 27"" (2560x1440), Fast VA, Curvo (1500R), Non-G",1097.01
MO27MS276CFE20, MON 27 MS MAG 276CF E20 FHD,20,122.4,MSI,477568,,632.7136
MO27MSMAG27CQ6F, MON 27 MS MAG27CQ6F 2K 0.5 180, 0,143.1,MSI,453792,"Monitor curvo gaming MSI MAG-27CQ6F, 27"" WQHD Rapid VA, 180 Hz, 0.5 ms, HDMI, DP[@@@]",736.5034
MON27CTE2764G," MON TE 27"" FHD 240HZ 1MS CURV",20,149,TEROS,425666,"Monitor curvo TEROS TE-2764G, 27"" FHD VA, 240 Hz,1ms, HDMI, DP[@@@]El monitor curvo T",766.086
MONLE67B6GAC1LA, MON LEN R27FC-30 27 FHD 240HZ, 1,189,LENOVO - IDEA,431068,"Monitor Lenovo Legion R27fc-30, 27"" VA/FHD/CURVO/16:9/240Hz/HDMIx2/DPx1/Parlantes (3W",966.6460000000001
MO32MSMAG32C6X, MON 32 MS MAG32C6X FHD 1M 250H, 15,170,MSI,469392,"Monitor curvo gaming MSI MAG 32C6X, 31.5"" FHD, 1500R, VA, 250Hz(OC), HDMI x2/DP x1/HP",871.38
MON315CTE3215G, MON TE 32\'' FHD 165HZ 1MS CUR, 20,158,TEROS,425668,"Monitor curvo gaming TEROS TE-3215G, 31.5 FHD VA,165 Hz, 1 ms, HDMI, DP[@@@]El monito",811.212
MON315CTE3217G, MON TE 32\'' QHD 165HZ 1MS CV, 9,184,TEROS,467193,"Monitor curvo gaming TEROS TE-3217G, 31.5"" VA, 165Hz, 1ms, DP, HDMI, AUDIO OUT[@@@]Di",941.576
MON32LG32GS60QC," MON GAMING 32"" IPS HDMI DP", 14,217,LG ELECTRONICS,452543,"Monitor Gamer LG 31.5"" UltraGear Curvo (1000R) QHD VA (2560x1440) HDMIx2/DP/HP-OUT[@@",1107.038
MON34CTE3411G," MON TE 34"" WQHD 180HZ CURVO",20,247,TEROS,440948,"Monitor curvo gaming TEROS TE-3411G, 34"" WQHD VA,HDMI, DP[@@@]El monitor curvo Teros",1257.458
MOVLG34GP63A, MONITOR LED 34\''VA 34GP63A, 5,332.5,LG ELECTRONICS,417035,"Monitor Gaming LG UltraGear Curvo (1800R) 34GP63A-B 34"" UltraWide QHD (3440x1440) Pan",1686.155
MO22MSPROMP225, MON 22 MS PROMP225 FHD 100H 1M,20,54.6,MSI,482876,,292.7644
MO24ASVG249Q3A, MON 24 AS VG249Q3A FHD 1MS,20,115.2,ASUS,475505,"Monitor Plano Gaming ASUS TUF VG249Q3A 23.8"", FHD/IPS/180Hz/HDMI x2/DP x1/Earphone Ja",596.6128
MO24MSG242LE14, MON 24 MS G242L E14 FHD 144HZ, 17,90,MSI,477574,,470.26000000000005
MO24MSG244FE2, MON 24 MS G244FE2 FHD 1M 180HZ,20,107.2,MSI,449096,"Monitor plano gaming MSI G244F E2 23.8""/FHD/RapidIPS/180Hz/HDMI x2/DP x1/Earphone-out",556.5008
MO24MSMAG244F, MON 24 MS 244F FHD 200HZ 0.5MS,20,96,MSI,477573,"Monitor MSI MAG 244F Plano 23.8”, FHD Rapid IPS (1920 x 1080), HDMI / DP / Headphone-",500.34400000000005
MON245FTE2472G," MON TE 24.5""' FHD 260HZ 1MS FL",20,114,TEROS,434353,"Monitor plano gaming TEROS TE-2472G, 24.5"" FHD VA, 260 Hz, 1 ms, HDMI, DP[@@@]Este mo",590.596
MON245FTE2475G, MON TE 24\'\' FHD 180HZ 1MS FL,20,88,TEROS,473245,"Monitor plano gaming TEROS TE-2475G, 24.5"" FHD VA, 180Hz, 1ms, HDMI, DP, Audio, USB[@",460.232
MON24LG24GS50F, MON 24GS50F GAMING, 19,126,LG ELECTRONICS,457105,"Monitor plano gaming LG UltraGear 24GS50F-B, 23.7"" FHD VA, 180 Hz, 5 ms, HDMI, DP[@@@",650.764
